Serial_Number,name,rating,price,provider_name,price_currency,level,pace,audio,subtitles,details_path
1,Software Engineering: Introduction,4.3829941586672,0.0,edX,USD,['advanced'],self_paced,['en-US'],['en'],https://classpert.com/edx/courses/edx-software-engineering-introduction-2GHYjY
2,Software Engineering 101: Learn the Software Development Cycle for Better Programming,4.31276394282531,32.0,Skillshare,USD,[],self_paced,"['en', 'en-US']",['en'],https://classpert.com/skillshare/courses/software-engineering-101-learn-the-software-development-cycle-for-better-programming-2qch4Z
3,UML Class Diagrams for Software Engineering,,0.0,edX,USD,['beginner'],self_paced,['en-US'],['en'],https://classpert.com/edx/courses/edx-uml-class-diagrams-for-software-engineering-3gCsHi
4,Software Engineering 102: Development Models and Agile Programming,4.16603970982995,32.0,Skillshare,USD,[],self_paced,"['en', 'en-US']",['en'],https://classpert.com/skillshare/courses/software-engineering-102-development-models-and-agile-programming-2kyHyq
5,Software Engineering Essentials,4.2565533266973,29.0,Pluralsight,USD,['intermediate'],self_paced,['en'],['en'],https://classpert.com/pluralsight/courses/software-engineering-essentials-1iIsT0
6,"Unix Tools: Data, Software and Production Engineering",4.43659358968397,0.0,edX,USD,['intermediate'],self_paced,['en-US'],['en'],https://classpert.com/edx/courses/edx-unix-tools-data-software-and-production-engineering-4fksti
7,Software Engineering : Master Software Engineering in C#,4.0744068500012,15.0,Udemy,USD,['beginner'],self_paced,['en-US'],['en'],https://classpert.com/udemy/courses/software-engineering-master-software-engineering-in-c-2rPFN5
8,Requirements Engineering: Software Engineering,,15.0,Udemy,USD,['beginner'],self_paced,['en-US'],['en'],https://classpert.com/udemy/courses/requirements-engineering-software-engineering-4oYpA3
9,Introduction to Software Engineering,4.26672110886538,,Canvas Network,USD,[],self_paced,['en-US'],[],https://classpert.com/canvas-network/courses/canvas-network-introduction-to-software-engineering-1Dnlpa
10,Software Engineering: Programming Fundamentals,4.17023847219878,15.0,Udemy,USD,['beginner'],self_paced,['en-US'],['en'],https://classpert.com/udemy/courses/software-engineering-programming-fundamentals-DJisT
11,Python for Software Engineering Bootcamp,,15.0,Udemy,USD,['beginner'],self_paced,['en-US'],['en'],https://classpert.com/udemy/courses/python-for-software-engineering-bootcamp-4fizdC
12,Mastering the Software Engineering Interview,4.26638380792105,0.0,Coursera,USD,['intermediate'],self_paced,['en'],"['ar', 'fr', 'pt', 'it', 'vi', 'de', 'ru', 'en', 'es']",https://classpert.com/coursera/courses/cs-tech-interview-YNBqU
13,Object-Oriented Software Engineering with Java,4.26177747675409,21.0,Udemy,USD,['intermediate'],self_paced,['en-US'],['en'],https://classpert.com/udemy/courses/object-oriented-software-engineering-with-java-1SUJkB
14,Software Engineering for Data Scientists and Programmers,,15.0,Udemy,USD,['beginner'],self_paced,['en-US'],['en'],https://classpert.com/udemy/courses/software-engineering-for-data-scientists-and-programmers-3wOQqg
15,Software Engineering 101: Plan and Execute Better Software.,4.50663932032856,18.0,Udemy,USD,['beginner'],self_paced,['en-US'],"['de', 'en', 'es', 'fr', 'id', 'it', 'pt']",https://classpert.com/udemy/courses/software-engineering-101-plan-and-execute-better-software-2I0FMA
16,Insights on Software Quality Engineering,4.30598885072883,29.99,Linkedin Learning,USD,['beginner'],self_paced,['en-US'],['en'],https://classpert.com/linkedin-learning/courses/insights-on-software-quality-engineering-2hNIxb
17,Software Engineering,,,Udemy,USD,['beginner'],self_paced,['en-GB'],['en'],https://classpert.com/udemy/courses/software-engineering-2YbIbE
18,Creating Software In The GoDot Engine,4.23658214343263,32.0,Skillshare,USD,[],self_paced,"['en', 'en-US']",['en'],https://classpert.com/skillshare/courses/creating-software-in-the-godot-engine-3Tg54a
19,Audacity Software Audio Engineering 4 Online Course Creation,4.21004574261805,15.0,Udemy,USD,['beginner'],self_paced,['en-US'],['en'],https://classpert.com/udemy/courses/audacity-software-audio-engineering-4-online-course-creation-1V6bHA
20,Black-box and White-box Testing,3.75239575088982,0.0,Coursera,USD,['intermediate'],self_paced,['en'],"['ar', 'fr', 'pt', 'it', 'vi', 'de', 'ru', 'en', 'es']",https://classpert.com/coursera/courses/black-box-white-box-testing-32aqKM
